name,address,city,telephone1,url,fax,telephone2
Bourbon Street Grill,2608-2929 Barnet Hwy, Coquitlam,604 552-8981,nil,nil,nil,
Bouzyous The Greek Taverna,1815 Commercial Dr, Vancouver,604 254-2533,nil,nil,nil,
Bulalohan Sa Ilocos Fast Food Cafe,4273 Fraser, Vancouver,604 879-2400,nil,nil,nil,
Burger Burger,4-340 6th St, New Westminster,604 525-4229,nil,nil,nil,
Burger Heaven Restaurant,77 10th St, New Westminster,604 522-8339,nil,nil,nil,
Beentoo,552 Seymour St, Vancouver,604 683-6833,nil,nil,nil,
Blue Duck Cafe,2118-20800 Westminster Hwy, Vancouver,604 303-7740,nil,nil,nil,
Bei Jiang Restaurant,1075-8580 Alexandra Rd, Richmond,778 297-6656,nil,nil,nil,
Beijing Garden Restaurant,3466 Cambie, Vancouver,604 873-3616,nil,nil,nil,
Bozzinis Restaurant,104-13655 104 Ave, Surrey,604 634-0153,nil,604 588-4622,604 588-6880,
Burger King,2805 E Hastings, Vancouver,604 251-9740,nil,nil,nil,
Burger King,1695 Main St, Vancouver,604 872-1785,nil,nil,604 872-2258,
Belgian Fries,1885 Commercial Dr, Vancouver,604 253-4220,nil,604 676-0436,nil,
Blue Flame Grill,101-12020 Bridgeport, Richmond,604 233-6225,nil,nil,nil,
Burger King,700-801 Marine Dr, North Vancouver,604 971-5100,nil,nil,nil,
Brado Restaurant,1399 Commercial Dr, Vancouver,604 251-7251,nil,nil,604 676-7676,
Burger King,344-4820 Kingsway, Burnaby,604 433-5181,nil,nil,nil,
Belgian Fries,740 Denman St, Vancouver,604 684-4704,nil,nil,nil,
Blue Fugu Japanese Food,2027-88 W Pender St, Vancouver,604 568-7820,nil,nil,nil,
Burger King,2735 Barnet Hwy, Coquitlam,604 464-8821,nil,nil,nil,
Bella Pizza,1725 Davie St, Vancouver,604 688-8888,nil,nil,nil,
Blue Moon Cafe,1724 W 4th, Vancouver,604 738-2656,nil,nil,nil,
Branas Restaurant,617 Stamps Landing, Vancouver,604 568-6707,nil,nil,nil,
Burger King,B-10119 Swenson Way, Delta,604 580-2191,nil,nil,nil,
Bella Vita Restaurant,22471 Lougheed Hwy, Maple Ridge,604 467-3212,nil,604 467-6151,nil,
Bellagio Cafe,773 Hornby St, Vancouver,604 408 1281,nil,nil,nil,
Bellagio's G,3075 Main St, Vancouver,604 871-9110,nil,nil,nil,
Bellasis Services,101-889 W Pender St, Vancouver,604 638-3982,nil,604 638-3985,nil,
Blue Mountain Cafe,1025 Howe St, Vancouver,604 682-3955,nil,nil,nil,
Blue Plate Cafe & Catering,110-1211 Vaimont Way, Richmond,604 278-0800,nil,nil,nil,
Blue Star Japanese Bistro,1935 W 4th Ave, Vancouver,604 736-8819,nil,nil,nil,
Blue Tree Cafe,551 Cardero St, Vancouver,604 647-2202,nil,nil,nil,
Brasil Stone Grill,26 Powell, Vancouver,604 558-1018,nil,nil,nil,
The Brave Bull's House of Steaks,1298 E Hastings St,604 253-4728,nil,nil,nil,
Bravo Cucina Ristorante Italiano,1209 Lonsdale Ave, North Vancouver,604 985-3006,nil,nil,nil,
Burger King,19996 Fraser Hwy, Langley,604 530-0884,nil,nil,nil,
Burger King,20290 Lougheed Hwy, Maple Ridge,604 465-7149,nil,nil,nil,
Burger King,1035 Columbia St, New Westminster,604 522-7093,nil,nil,nil,
Blue Water Cafe & Raw Bar,1095 Hamilton St, Vancouver,604 688-8078,nil,nil,nil,
Bread & Bean,4423 Ledger, Burnaby,604 293-1404,nil,nil,nil,
Burger King,11360 Steveston Hwy, Richmond,604 277-1818,nil,nil,nil,
Belle's Restaurant,14007 32 Ave, Surrey,604 542-7037,nil,nil,nil,
Bo Wah Fast Food,2119-4500 Kingsway, Burnaby,604 438-0202,nil,nil,nil,
Bread Garden,855 Davie St, Vancouver,604 633-1334,nil,604 633-1335,nil,
Burger King,10344 King George Blvd, Surrey,604 584-3371,nil,nil,nil,
Burger King,12525 88 Ave, Surrey,604 598-0855,nil,nil,nil,
Bengal Grill Restaurant,103-12736 80 Ave, Surrey,778 578-9994,nil,nil,nil,
Burgoo Bistro,4434 W 10th, Vancouver,604 221-7839,nil,nil,nil,
Burgoo Bistro,2212 W 4th Ave, Vancouver,604 734-3478,nil,nil,nil,
Benkei Ramen Noodle Shop,1741 Robson St, Vancouver,604 688-6980,nil,nil,nil,
Benkei Ramen Noodle Shop,545 W Broadway, Vancouver,604 568-6178,nil,nil,nil,
Benkei Ramen Restaurant,43 E 5th Ave, Vancouver,604 688-6790,nil,nil,nil,
The Boathouse Restaurant,1795 Beach, Vancouver,604 669-2225,nil,nil,nil,
The Boathouse Restaurant,6695 Nelson Ave, West Vancouver,604 921-8188,nil,nil,nil,
The Boathouse Restaurant,1305 Arbutus St, Vancouver,604 738-5487,nil,nil,nil,
The Boathouse Restaurant,8331 River Rd, Richmond,604 273-7014,nil,nil,nil,
Bread Garden Bakery & Cafe,100 Schoolhouse St, Coquitlam,604 515-0295,nil,nil,nil,
Bread Garden Fresh Grill,550 Park Royal N, West Vancouver,604 925-0181,nil,nil,nil,
Bread Garden Metrotown,4575 Central Blvd, Burnaby,604 435-5177,nil,nil,604 435-3596,
Burgoo Bistro,3 Lonsdale, North Vancouver,604 904-0933,nil,nil,nil,
Burgoo Bistro,3096 Main St, Vancouver,604 873-1441,nil,nil,nil,
Burrard St Deli,1344 Burrard St, Vancouver,604 681-2822,nil,nil,nil,
Ben Laila Donair,912 Clarke Rd, Port Moody,778 355-1444,nil,nil,nil,
The Boathouse Restaurant,14935 Marine Dr, White Rock,604 536-7320,nil,nil,nil,
Bread Garden Urban Cafe,3421-3880 Grant McConachie Way, Richmond,604 303-0071,nil,nil,nil,
The Burrito Brothers Mexican Food,2209 W 1st Ave, Vancouver,604 736-8222,nil,nil,nil,
Benny's On Broadway,2505 W Broadway, Vancouver,604 731-9730,nil,nil,nil,
Bentei Sushi,2893 Grandview Hwy, Vancouver,604 436-0890,nil,nil,nil,
Bentei Sushi,5-5901 Broadway, Burnaby,604 291-0080,nil,nil,nil,
Bento Sushi,502-595 Burrard St, Vancouver,604 684-6899,nil,nil,nil,
The Boathouse Restaurant,2770 Esplanade, Port Moody,604 931-5300,nil,nil,nil,
Bob Likes Thai Food,3755 Main St, Vancouver,604 568-8538,nil,nil,nil,
Bobby Sox 50's Diner,22596 Lougheed Hwy, Maple Ridge,604 467-9290,nil,nil,nil,
Bob's Bar & Grill,27083 Fraser Hwy, Aldergrove,604 857-7725,nil,nil,nil,
The Break Time Cafe,101-245 Columbia E, New Westminster,604 521-2212,nil,nil,nil,
C-Lovers Fish & Chips,108-2991 Lougheed Hwy, Coquitlam,604 464-3611,nil,nil,nil,
C-Lovers Fish & Chips,8-555 Clarke Rd, Coquitlam,604 936-2447,nil,nil,nil,
C-Lovers Fish & Chips,1660 Pemberton Ave, North Vancouver,604 980-9993,nil,nil,nil,
C-Lovers Fish & Chips,6640 Royal, West Vancouver,604 913-0094,nil,nil,nil,
Berts Restaurant,2904 Main St, Vancouver,604 876-1236,nil,nil,nil,
Bobs Sub,2-6390 No. 3 Rd, Richmond,604 273-6710,nil,nil,nil,
Best Garden Restaurant,2395 56th St, Tsawwassen,604 943-3818,nil,nil,nil,
Best Grill,112-20740 Mulford Cres, Langley,604 533-9600,nil,nil,nil,
Best In Town Restaurant,2516 Klngsway, Vancouver,604 431-3890,nil,nil,nil,
The Best Neighbours Restaurant & Pizza House,3838 Oak, Vancouver,604 732-3777,nil,nil,nil,
Best Quality Sweets,7260 Main St, Vancouver,604 324-6677,nil,nil,nil,
BG Urban Cafe,742 Granville St, Vancouver,604 681-3338,nil,604 681-8833,nil,
BG Urban Cafe,855 Davie St, Vancouver,604 681-6755,nil,nil,nil,
BG Urban Cafe,120-13711 International Pl, Richmond,604 248-0190,nil,nil,nil,
Bhaia Sweet Shop & Restaurant,14-6828 128 St, Surrey,604 572-0403,nil,nil,nil,
Bhaia Sweets Shop & Restaurant,5740 Fraser, Vancouver,604 323-2100,nil,nil,nil,
The Bibo Restaurant,1835 4th Ave W, Vancouver,604 568-6177,nil,nil,nil,
Bodhi Chol Heung Vegetarian Restaurant,3932 Fraser, Vancouver,604 873-3848,nil,nil,nil,
Bombay Beat Indian Restaurant,4266 Hastings, Burnaby,604 299-2500,nil,nil,nil,
Bombay Bite Cuisine,102-5568 206 St, Langley,604 539-0737,nil,nil,nil,
Bombay Joes Cuisine,103-4841 Delta St, Ladner,604 946-5525,nil,nil,nil,
Bombay Palki Restaurant,102-8318 120 St, Surrey,604 591-9292,nil,nil,nil,
The Bombay Restaurant,205-2748 Lougheed Hwy, Port Coquitlam,604 944-3872,nil,nil,nil,
The Bombay Sweets,2803 Shaughnessy, Port Coquitlam,604 941-1993,nil,778 285-1102,nil,
Bon's Off Broadway,2451 Nanaimo St, Vancouver,604 253-7242,nil,nil,nil,
The Bridge House Restaurant,3650 Capilano Rd, North Vancouver,604 987-3388,nil,nil,nil,
Bright Point Fusion Food Restaurant,13525 108 Ave, Surrey,604 496-5118,nil,nil,nil,
Britannia  Sushi,1016 Commercial Dr, Vancouver,604 251-1155,nil,nil,nil,
BC Sushi,2126 W Broadway, Vancouver,604 732-9923,nil,nil,nil,
Brit's Landing Fish & Chips,8320 112 St,  Delta,604 591-7617,nil,nil,nil,
Brix Restaurant,1138 Homer St, Vancouver,604 915-9463,nil,604 915-9433,nil,
Broadway Restaurant,1410 W Broadway, Vancouver,604 731-0488,nil,nil,nil,
Broadway Sanpachi,3132 W Broadway, Vancouver,604 738-3132,nil,nil,nil,
Broadway Seafood & Sushi,2697 W Broadway, Vancouver,604 730-9229,nil,nil,nil,
Brock House Restaurant,3875 Point Grey Rd, Vancouver,604 224-3317,www.brockhouserestaurant.com,nil,nil,
C Restaurant,2-1600 Howe, Vancouver,604 681-1164,nil,604 605-8263,nil,
C & U Vietnamese Restaurant,19665 Willowbrook, Langley,604 533-7988,nil,nil,nil,
Cabin 5555,5555 West Boulevard, Vancouver,604 263-5155,nil,nil,nil,
Cactus Club Cafe,575 W Broadway, Vancouver,604 714-6000,nil,nil,nil,
Cactus Club Cafe,1530 W Broadway, Vancouver,604 733-0434,nil,nil,nil,
Cactus Club Cafe,357 Davie St, Vancouver,604 685-8070,nil,nil,nil,
Cactus Club Cafe,1790 Beach Ave, Vancouver,604 681-2582,nil,nil,nil,
Cactus Club Cafe,1136 Robson St, Vancouver,604 687-3278,nil,nil,nil,
Cactus Club Cafe,4653 Klngsway, Burnaby,604 431-8448,nil,nil,nil,
Cactus Club Cafe,B-4219 Lougheed Hwy, Burnaby,604 291-6606,nil,nil,nil,
Cactus Club Cafe,110-101 Schoolhouse Coquitlam,604 777-0440,nil,nil,nil,
Cactus Club Cafe,7907 120 St, Delta,604 591-1707,nil,nil,nil,
Big Chef Restaurant,1060-8580 Alexandra, Richmond,604 207-0386,nil,nil,nil,
Book Kyung Dan Jeoun Korean Restaurant,1638 Robson St, Vancouver,604 629 8822,nil,nil,nil,
Broken Rice Restaurant,4088 Hastings St, Burnaby,604 558-3838,nil,nil,nil,
Cactus Club Cafe,1598 Pemberton, North Vancouver,604 986-5776,nil,nil,nil,
Big River Brew Pub & Restaurant,180-14200 Entertainment Blvd, Richmond,604 271-2739,nil,nil,nil,
Boom Beer,101-15155 101 Ave, Surrey,604 580-3553,nil,nil,nil,
Boomers Bar & Grill,2300 Rocket Way, Coquitlam,604 464-5551,nil,nil,nil,
Brothers Cafe & Bakery,196 Keefer Pl, Vancouver,604 647-2233,nil,nil,nil,
Cactus Club Cafe,5500 No. 3 Rd, Richmond,604 244-9969,nil,nil,nil,
Cactus Club Cafe,15079 32 Ave, Surrey,604 535-8799,nil,nil,nil,
Cactus Club Cafe,1G-855 Main, West Vancouver,604 922-1707,nil,nil,nil,
Cactus Club Cafe,588 Burrard St, Vancouver,604 682-0933,nil,nil,nil,
Cactus Club Cafe,7320 Market Cross, Burnaby,604 430-5000,nil,nil,nil,
Calli Mexican Restaurant,1102 Davie St, Vancouver,604 633-9950,nil,nil,nil,
Chatanaga Restaurant,648 Main St, Vancouver,604 683-4440,nil,nil,nil,
CHOP,10251 St. Edwards, Richmond,604 276-1180,www.chop.ca,nil,nil,
Caesar's Bar & Grill,3900 Steveston Hwy, Richmond,604 274-1268,nil,nil,nil,
The Calling Public House,1780 Davie St, Vancouver,604 801-6681,nil,604 801-6682,nil,
Chau Veggie Express,5052 Victoria Dr, Vancouver,604 568-9508,nil,nil,nil,
Calvins Cafe,3738 Mt Seymour Pky, North Vancouver,604 929-0990,nil,nil,nil,
Che Saba Cantina,603 Kingsway, Vancouver,604 558-1518,nil,nil,nil,
Cafe Bica,1809 Fir St, Vancouver,604 733-8818,nil,nil,nil,
Cafe Bonjour,101-11220 Horseshoe Way, Richmond,604 274-3962,nil,nil,nil,
Camay Wok Restaurant,228-1055 W Georgia St, Vancouver,604 687-2668,nil,nil,nil,
Cheers Restaurant,125 E 2nd, North Vancouver,604 985-9192,nil,nil,nil,
Cheesecake Etc,2141 Granville St,604 734-7704,nil,nil,nil,
Cafe Boungiornao,505 W Pender St, Vancouver,604 662-8307,nil,nil,nil,
Cambie Vietnam Restaurant,4136 Main St, Vancouver,604 872-3455,nil,nil,nil,
Chef King Chinese Seafood Restaurant,140-13757 72 Ave, Surrey,604 502-8100,nil,nil,604 502-8369,
Cafe Burger Time,2701 Norland Ave, Burnaby,604 291-0931,nil,nil,nil,
Cambies Cafe,2301 Cambie St, Vancouver,604 879-2338,nil,nil,nil,
Campagnolo Roma,2297 E Hastings St, Vancouver,604 569-0456,nil,nil,nil,
Chefs Table Urban Bistro,619 Belmont St, New Westminster,604 544-5118,nil,nil,nil,
Cafe Capri,2257 Hastings St E, Vancouver,604 568-6674,nil,nil,nil,
Cafe Carthage,1851 Commercial Dr, Vancouver,604 215-0661,www.carthage-cafe.com,nil,nil,
Camy's Pizza,5688 Fraser St, Vancouver,604 324-2200,nil,nil,nil,
Cherry Fruit Juice & Icy Bar,1515-4380 No. 3, Richmond,604 273-8337,nil,nil,nil,
Cheshire Cheese Inn,4585 Dunbar St, Vancouver,604 224-2521,nil,nil,nil,
Cheshire Cheese Inn,5645 West Blvd, Vancouver,604 261-2834,www.cheshirecheeseinn.com,nil,nil,
Chop Chop Chinese Take-Out,20587 Fraser Hwy, Langley,604 534-9922,nil,nil,nil,
The Chopsticks Restaurant,441 E Columbia, New Westminster,604 521-1871,nil,nil,nil,
Chow's Kitchen,B-2579 Lougheed Hwy, Port Coquitlam,604 552-7773,nil,nil,nil,
Canadian Maple Delights Gourmet Bistro & Shoppe,385 Water St, Vancouver,604 682-6175,nil,nil,nil,
Canadian 2 for 1 Pizza,800 12th St, New Westminster,604 527-1116,nil,nil,nil,
Cheshire Cheese Restaurant & Bar,218-123 Carrie Cates Crt, North Vancouver,604 987-3322,nil,nil,nil,
Christine's Cafe,105-1130 W Pender St, Vancouver,604 681-6413,nil,nil,nil,
Chronic Tacos,382 W Broadway, Vancouver,604 709-8226,nil,nil,nil,
Chronic Tacos,1812 West 4th Ave, Vancouver,604 558-3666,nil,nil,nil,
Chronic Tacos,980 Granville St, Vancouver,604 558-4201,nil,nil,nil,
Chronic Tacos,102 Water St, Vancouver,604 558-2110,nil,nil,nil,
Candia Taverna,4510 W 10th Ave, Vancouver,604 228-9512,nil,nil,nil,
Chez Faye Cafe,101-1168 Hamilton St, Vancouver,604 689-8425,nil,nil,nil,
Chu Kiang Chinese Restaurant,6491 Knight St, Vancouver,604 327-0652,nil,nil,nil,
Chuan Ku BBQ Restau rant,130-8291 Westminster Hwy, Richmond,778 297-5577,nil,nil,nil,
Cafe Carthage,1851 Commercial Dr, Vancouver,604 215-0661,nil,nil,nil,
Ca nra Foods,2025-88 W Pender St, Vancouver,604 568-3545,nil,nil,nil,
Chez Meme Baguette Bistro,4016 Hastings, Burnaby,604 299-1141,nil,nil,nil,
Cafe Crepe,2861 Granville St, Vancouver,604 488-1326,nil,nil,nil,
Canteen Mitra,3034 Main St, Vancouver,604 874-9820,nil,nil,nil,
Chubby Lamb,2160-8391 Alexandra, Richmond,604 303-8843,nil,nil,nil,
Cafe Crepe,1032 Robson St, Vancouver,604 488-0045,nil,nil,nil,
Chez Michel Restaurant,1373 Marine, West Vancouver,604 926-4913,nil,nil,nil,
Cafe Crepe,874 Granville St, Vancouver,604 806-0845,nil,nil,nil,
Cafe Crepe,796 Granville St, Vancouver,604 806-0834,nil,604 806-0836,nil,
Capilano Cafe,1825 Capilano Rd, North Vancouver,604 987-9000,nil,nil,nil,
Capilano Heights Chinese Restaurant,5020 Capilano Rd, North Vancouver,604 987-9511,nil,nil,nil,
Cafe Crepe,300-526 Granville St, Vancouver,604 730-9950,nil,nil,nil,
Church's Chicken,2304 E Hastings, Vancouver,604 254-6346,nil,nil,nil,
Cafe Crepe,1818 Commercial Dr, Vancouver,604 253-7363,nil,nil,nil,
Capilano  Sushi,1240 Marine, North Vancouver,604 929-7366,nil,nil,nil,
Chicago Subs,140-12560 Bridgeport Rd, Richmond,604 244-1125,nil,nil,nil,
Chicken Bob's,1-15223 Pacific Ave, White Rock,778 294-1803,nil,nil,nil,
Church's Chicken,6471 Victoria Dr, Vancouver,604 325-3343,nil,nil,nil,
Cafe Delight,150A-943 W Broadway, Vancouver,604 677-2623,nil,nil,nil,
Cafe De l'Orangerie,8636 Granville St, Vancouver,604 266-0066,nil,nil,nil,
The Cafe Des Arts,863 Beatty, Vancouver,604 669-2189,nil,nil,nil,
Cafe Deux Soleils,2096 Commercial Dr, Vancouver,604 254-1195,nil,nil,nil,
Caf e D'lite,3144 W Broadway, Vancouver,604 733-8882,nil,nil,nil,
Cafe D'lite Express,2220-4151 Hazelbridge Way, Richmond,604 295-6603,nil,nil,nil,
Capitol Hill Szechuan Cuisine,Frnt-5527 Hastings, Burnaby,604 294-2773,nil,nil,nil,
Captain Wah,2460-8260 Westminster Hwy, Richmond,604 214-8162,nil,nil,nil,
Captain's Galley Fish & Chips,20173 56 Ave, Langley,604 533-2522,nil,nil,nil,
Cardero's Restaurant & Marine Pub,1583 Coal Harbour Quay, Vancouver,604 669-7666,nil,nil,nil,
Chicken Chalet Express,148-123 Carrie Cates Crt, North Vancouver,604 987-6229,nil,nil,nil,
Chiffon Chinese Cuisine,120-4751 Garden City, Richmond,604 821-0880,nil,nil,nil,
Chiffon Patisserie,1073 W Broadway, Vancouver,604 732-1232,nil,nil,nil,
Chih-Wei Cheno ,106033 108 Ave, Surrey,604 588-2825,nil,nil,nil,
Church's Chicken,2504 Kingsway, Vancouver,604 438-5518,nil,nil,nil,
Church's Chicken,3449 Main St, Vancouver,604 709-8541,nil,nil,nil,
Church's Chicken,5704 Fraser, Vancouver,604 321-2222,nil,nil,nil,
Church's Chicken,1210 Marine, North Vancouver,604 904-8813,nil,nil,nil,
Church's Chicken,4267 Lougheed Hwy, Burnaby,604 291-9137,nil,nil,nil,
Church's Chicken,6255 Kingsway, Burnaby,604 432-6712,nil,nil,nil,
Cafe Dolcino,12 Powell, Vancouver,604 801-5118,nil,nil,nil,
Cafe Du Soleil,1393 Commercial Dr, Vancouver,604 254-1145,nil,nil,nil,
Casa Fabesso,850 Barnet Hwy, Port Moody,604 937-0727,nil,nil,nil,
Casa Pinoy Restaurant & Bakeshop,101-11911 Bridgeport, Richmond,604 276-0201,nil,604 276-0207,nil,
Chili Pepper House,1-3003 Kingsway, Vancouver,604 431-8633,nil,nil,nil,
Church's Chicken,5-555 North Rd, Coquitlam,604 939-1822,nil,nil,nil,
Church's Chicken,200-1175 Johnson St, Coquitlam,604 942-5067,nil,nil,nil,
Cafe Du Yen,2250 Kingsway, Vancouver,604 568-8920,nil,nil,nil,
Cafe  Elim,106-4720 Kingsway, Burnaby,604 436-0062,nil,nil,nil,
Cafe Exotica,104-625 5th Ave, New Westminster,604 515-0591,nil,nil,nil,
Cafe Gloucester,3338 Cambie, Vancouver,604 873-3853,nil,nil,nil,
Casa Verde Restaurant,3532 Commercial St, Vancouver,604 876-7647,nil,nil,nil,
Casablanca Pastry,555 W Hastings St, Vancouver,604 589-6168,nil,nil,nil,
Chilli Pepper House,12790 96 Ave, Surrey,604 583-9987,nil,nil,nil,
Chill Cafe,5507 Kingsway, Burnaby,604 436-3088,nil,nil,nil,
Chill Winston,3 Alexander, Vancouver,604 694-2445,nil,nil,nil,
Chilli House Thai Bistro,1018 Beach Ave, Vancouver,604 685-8989,nil,nil,nil,
Chilli Lee Szechuan Cuisine,1927 Lonsdale Ave, North Vancouver,604 988-6800,nil,nil,nil,
Church's Chicken,120-9100 Blundell, Richmond,604 244-0318,nil,nil,nil,
Church's Chicken,185-3673 Westminster Hwy, Richmond,604 273-2257,nil,nil,nil,
Church's Chicken,1-14877 108 Ave, Surrey,604 584-5550,nil,nil,nil,
Church's Chicken,15318 Fraser Hwy, Surrey,604 588-3666,nil,nil,nil,
Cafe Gloucester,3338 Cambie, Vancouver,604 873-3338,nil,nil,nil,
The Cascade Room,2616 Main St, Vancouver,604 709-8650,nil,nil,nil,
Church's Chicken,112-8434 120 St, Surrey,604 572-7660,nil,nil,nil,
Cafe Il Nido,780 Thurlow, Vancouver,604 685-6436,nil,nil,nil,
Casual Gourmet Bistro,770-333 Brooksbank, North Vancouver,604 987-4300,nil,nil,nil,
Chin Ho Restaurant,4448 W 10th Ave, Vancouver,604 228-9963,nil,nil,nil,
Church's Chicken,10542 King George Blvd, Surrey,604 588-2252,nil,nil,nil,
Church's Chicken,2725 192 St, Surrey,778 294-2298,nil,nil,nil,
Cats Social House,1540 Old Bridge, Vancouver,604 647-2287,nil,nil,nil,
China Bowl Restaurant,106-4061 200 St, Langley,604 532-7898,nil,nil,nil,
Chutney Villa South Indian Cuisine,147 E Broadway, Vancouver,604 872-2228,nil,nil,nil,
Cafe Kathmandu,2779 Commercial Dr, Vancouver,604 879-9909,nil,nil,nil,
Cafe Katzenjammer,4441 W 10th Ave, Vancouver,604 222-2775,nil,nil,nil,
Cafe Lan Anh,5088 Victoria Dr, Vancouver,604 566-9639,nil,nil,nil,
Cafe Luxy,1235 Davie St, Vancouver,604 669-5899,nil,604 669-5866,nil,
Cafe Mostar,103-20171 92A Ave, Langley,604 888-8837,nil,nil,nil,
Cattle Cafe Restaurant,1025-8580 Alexandra, Richmond,604 276-2800,nil,nil,nil,
Cattle Hot Pot Restaurant,1150-8391 Alexandra, Richmond,604 248-4345,nil,nil,nil,
Cazba Restaurant,132 16th St W, North Vancouver,604 980-7373,nil,nil,nil,
Cedar Hill Pizza,9591 128 St, Surrey,604 583-6622,nil,nil,nil,
China Express Foods,222-12448 82 Ave, Surrey,604 591-1181,nil,nil,nil,
China King Restaurant,202-15920 Fraser Hwy, Surrey,604 599-4899,nil,nil,nil,
China Kitchen,2953A W 4th Ave, Vancouver,604 732-3836,nil,nil,nil,
China Kitchen Restaurant,22805 Lougheed Hwy, Maple Ridge,604 463-0001,nil,nil,nil,
China Kitchen Restaurant,800-6339 200th St, Langley,604 530-5836,nil,nil,nil,
Ciao Bella Ristorante Italiano & Piano Bar,703 Denman St, Vancouver,604 688-5771,www.ciaobellavancouver.ca,nil,nil,
Celine Fish & Chips,109-1689 Johnston, Vancouver,604 669-8650,nil,nil,nil,
China Panda Restaurant,5024 48 Ave, Vancouver,604 946-6414,nil,nil,nil,
Cafe Mumbai,2893 W Broadway, Vancouver,604 737-2500,nil,nil,nil,
Cafe Nelly,107-13401 108 Ave, Surrey,604 582-0060,nil,604 582-0061,nil,
The Central Bistro,1072 Denman St, Vancouver,604 689-4527,nil,nil,nil,
Central City Brewing Co,190-13450 102 Ave, Surrey,604 582-6620,nil,604 584-4599,604 582-6630,
China Village Restaurant,9644 King George Blvd, Surrey,604 581-1933,nil,nil,nil,
Chinese Palace,22528 Lougheed Hwy, Maple Ridge,604 463-6311,nil,nil,nil,
Cielo Restaurant,15047 Marine, White Rock,604 538-8116,nil,nil,nil,
Chiu Hot Pot,2116-3779 Sexsmith, Richmond,604 207-8900,nil,nil,nil,
Cielo's Tapa's & Oyster Bar,15069 Marine, White Rock,604 538-8152,nil,nil,nil,
Cafe 106,106-6588 Royal Oak Ave, Burnaby,604 569-0968,nil,nil,nil,
Cafe Philharmonic,650 W Georgia St, Vancouver,604 669-0917,nil,nil,nil,
Chada Thai Fine Cuisine,107-2991 Lougheed Hwy, Coquitlam,604 464-5300,nil,nil,nil,
Chiu Yuet Chinese Restaurant,3-5901 Broadway, Burnaby,604 298-8361,nil,nil,nil,
Cho Sun BBQ Korean Restaurant,3486 Kingsway, Vancouver,604 434-1222,nil,nil,nil,
Cinch Cafe & Deli,1517 Robson St, Vancouver,604 684-5400,nil,nil,nil,
CinCin Ristorante & Bar,1154 Robson, Vancouver,604 688-7338,nil,nil,nil,
Cinco Estrelas,9-2268 Kingsway, Vancouver,604 439-1124,nil,nil,nil,
Cinema Public House,901 Granville St, Vancouver,604 694-0202,nil,nil,nil,
Chadow's Cafe,108-7031 Westminster Hwy, Richmond,604 272-1300,nil,nil,nil,
Choi Kee Restaurant,4265 Main St, Vancouver,604 872-8232,nil,nil,nil,
Cion Bakery,103-3650 Bonneville Pl, Burnaby,604 422-0259,nil,nil,nil,
Choi Restaurant Van,100-15155 101 Ave, Surrey,604 580-1793,nil,nil,nil,
Cafe Roma,1510 Commercial Dr, Vancouver,604 215-8801,nil,nil,nil,
Chambar Restaurant,562 Beatty St, Vancouver,604 879-7119,nil,nil,nil,
Cioppino's Mediterranean Grill,1133 Hamilton St, Vancouver,604 688-7466,nil,604 688-7411,nil,
Cafe Runway,109-5000 Miller, Richmond,604 273-1170,nil,nil,nil,
Chong Lum Hin Seafood Restaurant,7604 6th St, Burnaby,604 521-6881,nil,nil,nil,
Cafe Supreme,10-701 W Georgia St,604 688-6896,nil,nil,nil,
Cafe Terra,1777 W 2nd, Vancouver,604 737-8489,nil,nil,nil,
Chamnamoo Korean Restaurant,17-20349 88 Ave, Langley,604 882-5882,nil,nil,nil,
Chong Qing On Robson,1260 Robson St, Vancouver,604 568-0303,nil,nil,nil,
Cafe Thuy Tam,1279 Kingsway, Vancouver,604 568-5505,nil,nil,nil,
Cipriano's Ristorante & Pizzeria,3995 Main St, Vancouver,604 879-0020,nil,nil,nil,
Cafe Tica,2408 Alberta St, Vancouver,604 484-4775,nil,nil,nil,
Cafe Xu Hue,2226 Kingsway, Vancouver,604 454-9940,nil,nil,nil,
Cafe Zen On Yew,1631 Yew St, Vancouver,604 731-4018,nil,nil,nil,
Cafe Zucchero,2959 W 4th Ave, Vancouver,604 737-2959,nil,nil,nil,
Calle Amici,1344 Commercial Dr, Vancouver,604 215-3340,nil,nil,nil,
Chan's Palace,7-20349 88 Ave, Langley,604 888-8825,nil,nil,nil,
Charcoal Sushi & BBQ Restaurant,250-7997 Westminster Hwy, Richmond,778 297-7255,nil,nil,nil,
Charlatan,1447 Commercial Dr, Vancouver,604 253-2777,nil,nil,nil,
Charlie Don't Surf,15011 Marine Dr, White Rock,604 538-1988,nil,nil,nil,
Chong Qing Restarant,4909 Kingsway, Burnaby,604 558-0101,nil,nil,nil,
Chong's Wuntun House,2532 Kingsway, Vancouver,604 431-0998,nil,nil,nil,
Chongqing Restaurant,2808 Commercial Dr, Vancouver,604 254-7434,nil,nil,604 879-8454,
Citrus Cafe & Catering,2543 Renfrew, Vancouver,604 682-2068,nil,nil,nil,
City Wok,4-530 Hornby St, Vancouver,604 683-6278,nil,nil,nil,
Caffe Artigiano,574 Granville St, Vancouver,604 688-3422,nil,nil,nil,
Caffe Barney,2526 Main St, Vancouver,604 568-0426,nil,nil,nil,
Charlies Mexican Restaurant & Catering,B-2517 St. Johns, Port Moody,604 939-3226,nil,nil,nil,
